Unnamed: 0.1,Unnamed: 0,produitID,name,prix,link,imgCover,REFERENCE,description,techniqueDetails,EAN_x,PRIX TARIF N_x,EAN_y,PRIX TARIF N_y,BRAND
0,0,5384,Meuleuse d'angle filaire D125 mm 1400W GWS 14-125 MY12,"99,00",https://www.prolians.fr/meuleuse-d-angle-filaire-d125-mm-1400w-gws-14-125-my12-bosch58995673.html,"https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/5/8/58995673_0_20250412060059_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/5/8/58995673_1_20250412060059_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/5/8/58995673_2_20250412060100_1.jpg",0601824803,"

            Description du produit 

            La meuleuse d'angle filaire D.125 mm 1400W GWS 14-125 allie puissance et maniabilité, faisant d'elle un outil idéal pour les travaux exigeants. Son moteur de 1400 W bénéficie d'un système de refroidissement optimisé qui améliore considérablement sa résistance aux surcharges, garantissant ainsi une longue durée de vie et des performances fiables même lors d'utilisations prolongées. Le capot de protection indéformable assure une sécurité maximale à l'utilisateur en cas de rupture du disque ou de la meule, protégeant ainsi contre les éclats et les accidents potentiels. La présence d'une régulation électronique constante permet de maintenir un régime stable, même en cas de forte charge, assurant des coupes et des meulages réguliers et précis. Ce modèle est conçu pour répondre aux besoins des professionnels recherchant un outil robuste, performant et sûr, adapté à une variété d'applications dans le travail des métaux et autres matériaux.Livrée avec un écrou de serrage, une flasque, une clé à ergots. 
",,,,,,BOSCH
1,1,5385,"Lame de scie sabre S 1122 BF bimétal - 225 x 19 x 0,9 mm pour le métal (x5)","52,84",https://www.prolians.fr/lame-de-scie-sabre-s-1122-bf-bimetal-225-x-19-x-0-9-mm-pour-le-metal-x5-bosch17247115.html,"https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247115_0_20250412011440_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247115_1_20250412011440_1.jpg",2608656019,"

            Description du produit 

            La lame de scie sabre S 1122 BF Flexible for Metal est conçue pour les coupes à ras dans le métal. Elle mesure 225 mm de long et présente une épaisseur standard de 0,9 mm, garantissant des coupes précises. Sa denture avec un pas de 1,8 mm permet un travail à grande vitesse. Compatible avec toutes les scies sabres dotées d'un emmanchement en S.Garantie à vie        
",,3165140093552.0,"32,34",3165140093552.0,"32,34",BOSCH
2,2,5386,"Lame de scie sabre S 922 BF FLEXIBLE FOR METAL - 150 x 19 x 0,9 mm - 5 pièces","40,74",https://www.prolians.fr/lame-de-scie-sabre-s-922-bf-flexible-for-metal-150-x-19-x-0-9-mm-5-pieces-bosch17247565.html,"https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247565_0_20250412011443_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247565_1_20250412011443_1.jpg",2608656014,"

            Description du produit 

            Lame de scie sabre S 922 BF Flexible for Metal optimisée pour les coupes rapides dans le métal. 
",,3165140093507.0,"25,87",3165140093507.0,"25,87",BOSCH
3,3,5387,"Lame de scie sabre S1122HF bimétal - 225 x 19 x 0,9 mm (x5)","48,10",https://www.prolians.fr/lame-de-scie-sabre-s1122hf-bimetal-225-x-19-x-0-9-mm-x5-bosch17247166.html,"https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247166_0_20250412011440_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247166_1_20250412011441_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247166_2_20250412011441_1.jpg",2608656021,"

            Description du produit 

            Lame de scie sabre S 1122 HF Flexible for Wood and Metal; S 1122 HF ; BIM, denture progressive, avoyée, fraisée; Pour réparation de palettes, bois avec clous / métal (<175 mm), tôles métalliques, tuyaux, profilés en aluminium (3 - 12 mm), coupe à ras (lame flexible)Hauteur (mm): 241 , Largeur (mm): 111 , Profondeur (mm): 25 
",,3165140093576.0,"32,34",3165140093576.0,"32,34",BOSCH
4,4,5388,"Lame de scie sabre S 1122 AF FLEXIBLE pour le métal - 225x19x0,9 mm - 5 pièces","55,28",https://www.prolians.fr/lame-de-scie-sabre-s-1122-af-flexible-pour-le-metal-225x19x0-9-mm-5-pieces-bosch17247107.html,"https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247107_0_20250412011439_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247107_1_20250412011440_1.jpg",2608656018,"

            Description du produit 

            Lame de scie sabre S 1122 AF Flexible for Metal optimisée pour les coupes à ras dans le métal. 
",,3165140093545.0,"32,34",3165140093545.0,"32,34",BOSCH
5,5,5389,"Lame de scie sabre TOP pour le bois - 240x19x1,5 mm","47,11",https://www.prolians.fr/lame-de-scie-sabre-top-pour-le-bois-240x19x1-5-mm-bosch17247638.html,"https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247638_0_20250412011445_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247638_1_20250412011446_1.jpg",2608650676,"

            Description du produit 

            La lame de scie sabre S 1531 L Top for Wood permet des coupes nettes et rapides lors l’élagage du bois. Dents pointues et tranchantes, parfaites pour des élagages exacts et éviter d’endommager les plantes, Denture à grand pas (5 mm) et grands creux assurant une évacuation efficace de la matière pour une coupe rapide, Convient à toutes les scies sabres avec emmanchement en S.  
",,3165140016056.0,"33,96",3165140016056.0,"33,96",BOSCH
6,6,5390,Ecrou de serrage pour meuleuse rapide SDS-clic M14,"45,53",https://www.prolians.fr/ecrou-de-serrage-pour-meuleuse-rapide-sds-clic-m14-bosch17305735.html,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17305735_0_20250419011233_1.jpg,1603340031,"

            Description du produit 

            Permet de serrer et desserrer rapidement et facilement un vaste éventail d'accessoires pour meuleuse angulaire, tels que les meules assiettes, les disques à tronçonner diamantés et les disques abrasifs.   Utilisation :  Le disque doit être centré sur la flasque de support et non sur l'écrou. La longueur de filetage dépassant de l'accessoire le plus épais doit être supérieure à 6 mm. 
",,3165140033206.0,37,3165140033206.0,37,BOSCH
7,7,5391,"Lame de scie sabre S2345X HCS - 200 x 19 x 1,25 mm (x5)","64,27",https://www.prolians.fr/lame-de-scie-sabre-s2345x-hcs-200-x-19-x-1-25-mm-x5-bosch17308653.html,"https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17308653_0_20250412011518_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17308653_1_20250412011518_1.jpg",2608654404,"

            Description du produit 

            Coupe fine et propre, sans effort, dans le mince et l'épais. Bois de construction (<150mm), panneaux replaqués, panneaux de particules moyenne densité (6-60mm), contre-plaqué, matières plastique (<150mm), panneaux de bois (<150mm).  
",,3165140169585.0,"27,49",3165140169585.0,"27,49",BOSCH
8,8,5392,"Lame de scie sabre FLEXIBLE pour le bois et le métal - 150x19x0,9 mm - 5 pièces","30,74",https://www.prolians.fr/lame-de-scie-sabre-flexible-pour-le-bois-et-le-metal-150x19x0-9-mm-5-pieces-bosch17247581.html,"https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247581_0_20250412011444_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/1/7/17247581_1_20250412011445_1.jpg",2608656016,"

            Description du produit 

            Lame de scie sabre S 922 HF Flexible pour la réalisation de découpes dans le bois et le métal.Denture latérale fraisée pour les découpes sans exigence particulière.Lame Bimétal optimisée pour la coupe de clous/matériaux en acier doux/composants non ferreux incrustés dans le bois.Convient à toutes les scies sabres avec emmanchement en S. 
",,3165140093521.0,"25,87",3165140093521.0,"25,87",BOSCH
9,9,5393,Meuleuse d'angle filaire Diamètre 230 mm 2400W GWS24-230P,"149,00",https://www.prolians.fr/meuleuse-d-angle-filaire-diametre-230-mm-2400w-gws24-230p-bosch68496349.html,"https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/6/8/68496349_0_20250412084815_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/6/8/68496349_1_20250412084816_1.jpg,https://www.prolians.fr/media/catalog/product_src/cache/a70b94d2a14edc0fdfd5ffbe8a490921/6/8/68496349_2_20250412084817_1.jpg",06018C3100,"

            Description du produit 

            La GWS 24-230 P Professional est une meuleuse angulaire robuste de 230 mm, équipée d'un interrupteur de sécurité PROtection switch (homme mort) pour une meilleure protection de l'utilisateur. Son puissant moteur de 2400 W offre d'excellentes performances pour le tronçonnage et l'ébarbage grâce à une grande capacité d'enlèvement. L'interrupteur PROtection arrête automatiquement l'outil dès qu'il est relâché, améliorant ainsi la sécurité. Le moteur optimisé et la poignée antivibrations réduisent significativement les vibrations. Cette meuleuse est idéale pour l'ébarbage et le tronçonnage des métaux, du béton, de la pierre et d'autres matériaux.Livrée avec une clé à ergots, une flasque de serrage, un écrou de serrage, un couvercle de protection et une poignée supplémentaire. 
",,4059952556062.0,189,4059952556062.0,189,BOSCH
